City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,bardai,11.65,7.2333,21.27,93,24,3.43,NG,1690257715
110,santiago de cao,-7.9589,-79.2392,22.07,83,100,4.12,PE,1690257797
111,sisimiut,66.9395,-53.6735,5.03,90,56,6.24,GL,1690257797
112,chonchi,-42.6128,-73.8092,7.84,91,66,2.96,CL,1690257797
113,boguchany,58.3814,97.4531,19.92,81,100,1.22,RU,1690257797
114,pyapon,16.2833,95.6833,24.53,95,100,1.76,MM,1690257798
115,uturoa,-16.7333,-151.4333,26.74,84,11,6.09,PF,1690257798
116,page,36.9147,-111.4558,27.88,34,0,2.24,US,1690257799
117,solnechnyy,50.7214,136.6319,21.75,93,98,2.01,RU,1690257800
118,island harbour,50.724,-1.2758,13.59,95,93,0.45,GB,1690257800
119,fisterra,42.9049,-9.2629,13.75,74,14,5.0,ES,1690257800
120,dul'durga,50.6761,113.5931,23.14,54,47,2.39,RU,1690257801
121,kismayo,-0.3582,42.5454,25.08,74,67,7.58,SO,1690257801
122,tamanrasset,22.785,5.5228,23.95,23,1,2.57,DZ,1690257801
123,wailua homesteads,22.0669,-159.378,28.24,87,100,7.2,US,1690257801
124,altai,46.3722,96.2583,18.0,32,22,2.93,MN,1690257802
125,ladario,-19.0047,-57.6017,20.34,42,0,0.45,BR,1690257592
126,punta arenas,-53.15,-70.9167,-1.65,87,100,1.5,CL,1690257684
127,arar,30.9753,41.0381,28.01,26,0,4.12,SA,1690257802
128,happy valley-goose bay,53.3168,-60.3315,16.17,82,75,3.09,CA,1690257802
129,bathsheba,13.2167,-59.5167,27.34,89,75,6.17,BB,1690257803
130,mossel bay,-34.1831,22.146,4.96,58,0,1.76,ZA,1690257803
131,udachny,66.4167,112.4,16.36,82,85,2.37,RU,1690257803
132,ilulissat,69.2167,-51.1,5.01,93,36,1.54,GL,1690257803
133,port elizabeth,-33.918,25.5701,4.16,93,0,1.54,ZA,1690257804
134,nouadhibou,20.931,-17.0347,22.99,73,32,7.2,MR,1690257804
135,kill devil hills,36.0307,-75.676,25.55,89,0,0.0,US,1690257694
136,longyearbyen,78.2186,15.6401,9.91,76,75,2.57,SJ,1690257804
137,college,64.8569,-147.8028,30.99,33,75,4.63,US,1690257602
138,gagra,43.3283,40.2239,20.51,78,18,2.16,GE,1690257805
139,hawaiian paradise park,19.5933,-154.9731,25.41,89,95,0.89,US,1690257674
140,arraial do cabo,-22.9661,-42.0278,20.89,90,5,9.34,BR,1690257702
141,nuuk,64.1835,-51.7216,9.34,71,14,6.17,GL,1690257690
142,tera,14.0078,0.7531,28.08,61,78,4.81,NE,1690257805
143,dunedin,-45.8742,170.5036,9.33,67,90,4.02,NZ,1690257686
144,bakanas,44.8081,76.2772,34.52,12,0,4.33,KZ,1690257806
145,rio grande,-32.035,-52.0986,12.75,93,100,9.25,BR,1690257799
146,at taj,24.2049,23.2857,28.56,23,3,3.88,LY,1690257806
147,kodiak,57.79,-152.4072,13.73,72,0,5.66,US,1690257806
148,beyneu,45.3167,55.2,32.24,24,100,6.8,KZ,1690257807
149,ciudad guayana,8.3533,-62.6528,26.4,88,91,1.31,VE,1690257807
150,anadyr,64.75,177.4833,12.78,76,75,8.94,RU,1690257680
151,geraldton,-28.7667,114.6,16.23,51,100,4.63,AU,1690257807
152,karratha,-20.7377,116.8463,21.91,48,0,10.31,AU,1690257807
153,carnarvon,-24.8667,113.6333,21.71,50,88,11.7,AU,1690257808
154,hithadhoo,-0.6,73.0833,28.2,78,100,7.41,MV,1690257808
155,thunder bay,48.4001,-89.3168,14.99,82,20,1.03,CA,1690257657
156,usogorsk,63.4106,48.6872,13.94,94,100,2.68,RU,1690257808
157,grand falls-windsor,48.9332,-55.6649,18.61,87,34,2.74,CA,1690257808
158,jamestown,42.097,-79.2353,18.8,80,0,2.57,US,1690257611
159,labasa,-16.4167,179.3833,26.1,72,85,3.32,FJ,1690257809
160,chernyshevskiy,63.0128,112.4714,27.66,46,9,2.68,RU,1690257809
161,nar'yan-mar,67.6713,53.087,18.42,72,54,4.64,RU,1690257809
162,colonia,50.9333,6.95,15.54,89,75,1.54,DE,1690257809
163,saint-clement-de-riviere,43.6833,3.8333,21.42,59,0,6.69,FR,1690257809
164,invercargill,-46.4,168.35,8.03,78,68,8.04,NZ,1690257810
165,broken hill,-31.95,141.4333,14.6,46,0,3.4,AU,1690257810
166,pailon,-17.65,-62.75,21.5,57,56,0.6,BO,1690257810
167,tamiahua,21.2667,-97.45,25.21,77,100,1.1,MX,1690257810
168,hoopstad,-27.8327,25.9083,4.28,21,92,3.07,ZA,1690257810
169,sao joao da barra,-21.6403,-41.0511,20.83,87,4,3.45,BR,1690257778
170,arteche,12.2645,125.4048,29.96,70,100,7.64,PH,1690257811
171,fale old settlement,-9.3852,-171.2468,28.83,73,5,8.65,TK,1690257811
172,fort st. john,56.2499,-120.8529,15.94,77,100,2.06,CA,1690257688
173,zhuanghe,39.7008,122.9911,26.51,87,99,4.55,CN,1690257811
174,hemmoor,53.7,9.1167,14.07,93,20,3.36,DE,1690257812
175,souillac,-20.5167,57.5167,21.21,94,40,0.0,MU,1690257812
176,carupano,10.6678,-63.2585,25.52,90,96,2.85,VE,1690257812
177,antigonish,45.6169,-61.9986,22.93,82,100,2.58,CA,1690257787
178,saint-pierre,-21.3393,55.4781,20.82,56,0,4.12,RE,1690257812
179,hammerfest,70.6634,23.6821,12.25,87,75,4.12,NO,1690257813
180,sumbawanga,-7.9667,31.6167,12.89,76,0,2.06,TZ,1690257813
181,chamical,-30.36,-66.314,9.97,56,53,2.53,AR,1690257813
182,seryshevo,51.0933,128.3786,20.65,84,100,3.68,RU,1690257813
183,bardsir,29.9227,56.5743,27.02,14,4,1.81,IR,1690257814
184,rosarito,32.3333,-117.0333,24.81,82,26,2.81,MX,1690257814
185,kaa-khem,51.6833,94.7333,21.33,46,96,2.44,RU,1690257814
186,shenjiamen,29.9576,122.298,27.48,84,44,5.73,CN,1690257699
187,rockland,41.1668,-74.0496,25.13,89,39,1.01,US,1690257814
188,patnongon,10.9132,121.9937,27.11,87,100,10.11,PH,1690257815
189,mogadishu,2.0371,45.3438,24.86,82,29,7.69,SO,1690257815
190,stolin,51.8912,26.846,17.29,97,100,2.46,BY,1690257815
191,urrao,6.3152,-76.1342,14.95,97,100,0.38,CO,1690257815
192,georgetown,5.4112,100.3354,32.96,74,20,2.57,MY,1690257640
193,alice springs,-23.7,133.8833,17.75,34,0,8.23,AU,1690257816
194,codrington,-38.2667,141.9667,14.28,62,14,1.46,AU,1690257816
195,yuzhno-kurilsk,44.0306,145.8556,23.07,81,54,0.33,RU,1690257816
196,brookings,44.3114,-96.7984,23.0,80,0,3.6,US,1690257816
197,hirara,24.8,125.2833,33.92,70,75,10.29,JP,1690257817
198,quiberon,47.4841,-3.1196,15.04,83,92,1.79,FR,1690257817
199,cabinda,-5.55,12.2,20.74,90,8,1.87,AO,1690257817
200,tura,25.5198,90.2201,28.61,81,87,1.42,IN,1690257817
201,nova sintra,14.8667,-24.7167,22.4,84,100,6.78,CV,1690257817
202,enewetak,11.3474,162.3373,28.89,79,32,6.97,MH,1690257614
203,phalaborwa,-23.943,31.1411,16.6,76,100,4.33,ZA,1690257818
204,lata,40.1629,-8.3327,14.49,98,37,0.85,PT,1690257818
205,revda,56.801,59.9303,16.98,85,51,3.46,RU,1690257818
206,la paz,-16.5,-68.15,8.65,21,0,2.57,BO,1690257616
207,clinton,42.587,-82.9199,22.18,81,20,1.54,US,1690257646
208,high river,50.5834,-113.8687,28.98,31,30,5.13,CA,1690257605
209,yeniseysk,58.4497,92.1703,25.08,60,79,1.68,RU,1690257819
210,callao,-12.0667,-77.15,21.16,73,40,5.66,PE,1690257737
211,harper,4.375,-7.7169,24.66,86,100,4.27,LR,1690257819
212,villa gesell,-37.2639,-56.973,7.81,72,59,4.54,AR,1690257611
213,faranah,10.0404,-10.7434,21.32,98,100,2.61,GN,1690257819
